ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
7075,2021-09-16 17:45:00,2021-09-16 18:15:00,2021-09-16 17:45:00,89565,0,89565,89567,47557.1,47271.7574,Stop,-0.6,-1,2,11712,3,0.378780680666,5,0.615497070906,3,0.40527093379,2,0.364294448488,2
7076,2021-09-16 18:00:00,2021-09-16 20:45:00,2021-09-16 17:45:00,89565,1,89566,89577,47343.7,47059.6378,Stop,-0.6,-1,11,11713,3,0.470470689599,4,0.352149134427,3,0.868938269423,2,0.820007376907,2
7077,2021-09-16 18:15:00,2021-09-16 20:45:00,2021-09-16 17:45:00,89565,2,89567,89577,47420.6,47136.0764,Stop,-0.6,-1,10,11714,3,0.366389191007,3,0.514923253729,3,0.79754221008,2,0.717355429067,2
7078,2021-09-16 18:30:00,2021-09-16 20:45:00,2021-09-16 17:45:00,89565,3,89568,89577,47408.9,47124.4466,Stop,-0.6,-1,9,11715,3,0.388662333156,3,0.440035190414,3,0.735435305765,2,0.648541963288,2
7079,2021-09-16 19:00:00,2021-09-16 20:15:00,2021-09-16 19:00:00,89570,0,89570,89575,47597.2,47311.6168,Stop,-0.6,-1,5,11716,3,0.285350215122,4,0.459325911564,1,0.521955750449,2,0.512841637196,2
7080,2021-09-16 19:15:00,2021-09-16 20:15:00,2021-09-16 19:00:00,89570,1,89571,89575,47633.9,47348.0966,Stop,-0.6,-1,4,11717,3,0.472937934962,5,0.512740000776,1,0.722841687425,2,0.526289077044,2
7081,2021-09-16 19:30:00,2021-09-16 20:15:00,2021-09-16 19:00:00,89570,2,89572,89575,47606.7,47321.0598,Stop,-0.6,-1,3,11718,3,0.415218755026,4,0.409174323609,1,0.631203470544,2,0.610020651079,2
7082,2021-09-16 19:45:00,2021-09-16 20:00:00,2021-09-16 19:00:00,89570,3,89573,89574,47644.1,47358.2354,Stop,-0.6,-1,1,11719,3,0.433260681539,4,0.400494009667,1,0.559716636116,2,0.500015662765,2
7083,2021-09-16 20:30:00,2021-09-16 20:45:00,2021-09-16 20:30:00,89576,0,89576,89577,47296.7,47012.9198,Stop,-0.6,-1,1,11720,3,0.446804130733,1,0.523979133338,5,0.731758798216,2,0.637548999314,2
7084,2021-09-16 20:45:00,2021-09-16 20:45:00,2021-09-16 20:30:00,89576,1,89577,89577,47346.9,47062.8186,Stop,-0.6,-1,0,11721,3,0.451830048809,4,0.45305030479,5,0.61577727572,2,0.641058249169,2
7085,2021-09-16 21:00:00,2021-09-17 10:30:00,2021-09-16 20:30:00,89576,2,89578,89632,47115.9,47402.734,Stop,0.608783871262,1.01463978544,54,11722,3,0.421201957316,1,0.295851745099,5,0.674715807765,2,0.527247319042,2
7086,2021-09-16 21:15:00,2021-09-17 10:30:00,2021-09-16 20:30:00,89576,3,89579,89632,47215.5,47398.174,Stop,0.386894134341,0.644823557236,53,11723,3,0.479025306252,5,0.498725069069,5,0.812617484825,2,0.738938473575,2
7087,2021-09-16 21:45:00,2021-09-17 10:30:00,2021-09-16 21:45:00,89581,0,89581,89632,47505.3,47394.944,Stop,-0.232302500984,-0.387170834974,51,11724,3,0.296505437252,4,0.315420516325,2,0.526447235303,2,0.581704292365,2
7088,2021-09-16 22:00:00,2021-09-17 10:30:00,2021-09-16 21:45:00,89581,1,89582,89632,47611.5,47399.1493333,Stop,-0.446007092124,-0.74334515354,50,11725,3,0.298687928473,4,0.283205500738,2,0.545913530759,2,0.494806305448,2
7089,2021-09-16 22:15:00,2021-09-17 10:30:00,2021-09-16 21:45:00,89581,2,89583,89632,47587.7,47399.0015556,Stop,-0.396527767563,-0.660879612605,49,11726,3,0.217146833564,1,0.22767163568,2,0.555304968247,2,0.514028225918,2
7090,2021-09-16 22:30:00,2021-09-17 10:30:00,2021-09-16 21:45:00,89581,3,89584,89632,47548.4,47401.86,Stop,-0.308191232513,-0.513652054188,48,11727,3,0.306931407661,3,0.239615848218,2,0.578438420279,2,0.51240508058,2
7091,2021-09-17 15:30:00,2021-09-17 18:00:00,2021-09-17 15:00:00,89650,2,89652,89662,47470.8,47185.9752,Stop,-0.6,-1,10,11730,3,0.258885311376,2,0.371939316435,2,0.413881912579,2,0.357695045397,2
7092,2021-09-17 15:45:00,2021-09-17 17:45:00,2021-09-17 15:00:00,89650,3,89653,89661,47539.1,47253.8654,Stop,-0.6,-1,8,11731,3,0.389880214257,4,0.351642759887,2,0.473773172199,2,0.539486256902,2
7093,2021-09-18 01:30:00,2021-09-18 17:00:00,2021-09-18 01:30:00,89692,0,89692,89754,47462.3,48101.2431111,Stop,1.34621185891,2.24368643152,62,11732,3,0.493883161053,1,0.323460884791,3,0.450234425695,2,0.360579146705,2
7094,2021-09-18 02:15:00,2021-09-18 17:00:00,2021-09-18 01:30:00,89692,3,89695,89754,47539.2,48104.5744444,Stop,1.18928051891,1.98213419818,59,11735,3,0.542047634461,5,0.414697421164,3,0.705179196863,2,0.365213289556,2
7095,2021-09-18 20:15:00,2021-09-19 01:00:00,2021-09-18 20:15:00,89767,0,89767,89786,47874.6,47813.1211111,Stop,-0.128416506642,-0.21402751107,19,11740,3,0.677489167412,1,0.54601322755,4,0.47573585155,2,0.489597311613,2
7096,2021-09-18 20:30:00,2021-09-19 01:00:00,2021-09-18 20:15:00,89767,1,89768,89786,47832.7,47815.7895556,Stop,-0.0353533136211,-0.0589221893685,18,11741,3,0.676071683881,3,0.702405727194,4,0.701994754397,2,0.750290736099,2
7097,2021-09-18 20:45:00,2021-09-19 01:00:00,2021-09-18 20:15:00,89767,2,89769,89786,47881.9,47816.5917778,Stop,-0.13639438331,-0.227323972184,17,11742,3,0.626788485471,1,0.516401083862,4,0.559975236388,2,0.622266796047,2
7098,2021-09-18 21:00:00,2021-09-19 01:00:00,2021-09-18 20:15:00,89767,3,89770,89786,47944.7,47818.0315556,Stop,-0.264196969518,-0.44032828253,16,11743,3,0.677413774361,4,0.525368233424,4,0.707259759888,2,0.807162291063,2
7099,2021-09-19 01:30:00,2021-09-19 11:30:00,2021-09-19 01:30:00,89788,0,89788,89828,47692.7,47780.4593333,Stop,0.184009991746,0.306683319576,40,11744,3,0.650348734039,3,0.604603988785,1,0.500879448051,2,0.529461574153,2
7100,2021-09-19 01:45:00,2021-09-19 11:30:00,2021-09-19 01:30:00,89788,1,89789,89828,47739.6,47778.1751111,Stop,0.080803172023,0.134671953372,39,11745,3,0.652619748653,3,0.595199941122,1,0.561164559975,2,0.579252359471,2
7101,2021-09-19 02:00:00,2021-09-19 11:30:00,2021-09-19 01:30:00,89788,2,89790,89828,47832.3,47781.3966667,Stop,-0.106420417445,-0.177367362408,38,11746,3,0.760358017972,2,0.679225606161,1,0.457965373126,2,0.52854321561,2
7102,2021-09-19 02:15:00,2021-09-19 11:30:00,2021-09-19 01:30:00,89788,3,89791,89828,47826.4,47782.4353333,Stop,-0.0919255195178,-0.153209199196,37,11747,3,0.700924247005,2,0.573622760578,1,0.454844910737,2,0.493448022751,2
7103,2021-09-19 11:45:00,2021-09-19 11:45:00,2021-09-19 11:45:00,89829,0,89829,89829,47633.8,47347.9972,Stop,-0.6,-1,0,11748,3,0.775634218759,3,0.765200651742,5,0.524494497942,2,0.412381009198,2
7104,2021-09-19 12:00:00,2021-09-19 20:00:00,2021-09-19 11:45:00,89829,1,89830,89862,47282,47244.4502222,Stop,-0.079416644342,-0.132361073903,32,11749,3,0.419388007981,5,0.442654869516,5,0.60156749953,2,0.400093833612,2
