leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
0,102940,2022-02-04 22:30:00,40491.90000000,191.63111111,100.15656071,100.19411418,37996.35224985,37984.91998674,41220.09822222,40248.94860000,1,6,2022-02-04 23:49:00
2,102939,2022-02-04 22:45:00,40530.00000000,190.79777778,100.19411418,100.53777824,37984.91998674,37971.14810697,41255.03155556,40286.82000000,1,5,2022-02-04 23:49:00
1,102940,2022-02-04 22:45:00,40530.00000000,190.79777778,100.15656071,100.19411418,37996.35224985,37984.91998674,41255.03155556,40286.82000000,1,5,2022-02-04 23:49:00
3,102939,2022-02-04 23:00:00,40610.90000000,191.26555556,100.19411418,100.53777824,37984.91998674,37971.14810697,41337.70911111,40367.23460000,1,4,2022-02-04 23:49:00
2,102940,2022-02-04 23:00:00,40610.90000000,191.26555556,100.15656071,100.19411418,37996.35224985,37984.91998674,41337.70911111,40367.23460000,1,4,2022-02-04 23:49:00
0,102942,2022-02-04 23:00:00,40610.90000000,191.26555556,100.33650651,100.34119045,38020.17652828,38004.61496080,41337.70911111,40367.23460000,1,4,2022-02-04 23:49:00
3,102940,2022-02-04 23:15:00,40602.90000000,190.94555556,100.15656071,100.19411418,37996.35224985,37984.91998674,41328.49311111,40359.28260000,1,3,2022-02-04 23:49:00
1,102942,2022-02-04 23:15:00,40602.90000000,190.94555556,100.33650651,100.34119045,38020.17652828,38004.61496080,41328.49311111,40359.28260000,1,3,2022-02-04 23:49:00
0,102943,2022-02-04 23:15:00,40602.90000000,190.94555556,100.32489191,100.33650651,38039.48342716,38020.17652828,41328.49311111,40359.28260000,1,3,2022-02-04 23:49:00
2,102942,2022-02-04 23:30:00,40593.60000000,191.12222222,100.33650651,100.34119045,38020.17652828,38004.61496080,41319.86444444,40350.03840000,1,2,2022-02-04 23:49:00
1,102943,2022-02-04 23:30:00,40593.60000000,191.12222222,100.32489191,100.33650651,38039.48342716,38020.17652828,41319.86444444,40350.03840000,1,2,2022-02-04 23:49:00
0,102944,2022-02-04 23:30:00,40593.60000000,191.12222222,99.77243964,100.32489191,38056.33415823,38039.48342716,41319.86444444,40350.03840000,1,2,2022-02-04 23:49:00
