ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
24356,2024-12-01 09:00:00,3,2024-12-01 09:45:00,2024-12-01 20:15:00,97025.2000,96899.0091,Stop,-0.1301,-0.2168,42
24357,2024-12-01 21:30:00,0,2024-12-01 21:30:00,2024-12-02 03:30:00,97278.3000,97415.8744,Stop,0.1414,0.2357,24
24358,2024-12-01 21:30:00,1,2024-12-01 21:45:00,2024-12-02 03:30:00,97424.0000,97414.1096,Stop,-0.0102,-0.0169,23
24359,2024-12-01 21:30:00,2,2024-12-01 22:00:00,2024-12-02 00:00:00,97766.1000,97179.5034,Stop,-0.6000,-1.0000,8
24360,2024-12-01 21:30:00,3,2024-12-01 22:15:00,2024-12-02 03:30:00,97511.4000,97394.2820,Stop,-0.1201,-0.2002,21
24361,2024-12-02 03:45:00,0,2024-12-02 03:45:00,2024-12-02 03:45:00,97105.7000,96523.0658,Stop,-0.6000,-1.0000,0
24362,2024-12-02 04:00:00,0,2024-12-02 04:00:00,2024-12-02 07:15:00,96516.2000,96074.7407,Stop,-0.4574,-0.7623,13
24363,2024-12-02 03:45:00,1,2024-12-02 04:00:00,2024-12-02 07:15:00,96516.2000,96074.7407,Stop,-0.4574,-0.7623,13
24364,2024-12-02 04:00:00,1,2024-12-02 04:15:00,2024-12-02 07:15:00,96194.7000,96056.4162,Stop,-0.1438,-0.2396,12
24365,2024-12-02 03:45:00,2,2024-12-02 04:15:00,2024-12-02 07:15:00,96194.7000,96056.4162,Stop,-0.1438,-0.2396,12
24366,2024-12-02 04:00:00,2,2024-12-02 04:30:00,2024-12-02 07:15:00,96465.2000,96049.4200,Stop,-0.4310,-0.7184,11
24367,2024-12-02 03:45:00,3,2024-12-02 04:30:00,2024-12-02 07:15:00,96465.2000,96049.4200,Stop,-0.4310,-0.7184,11
24368,2024-12-02 04:00:00,3,2024-12-02 04:45:00,2024-12-02 06:00:00,96789.2000,96208.4648,Stop,-0.6000,-1.0000,5
24369,2024-12-02 15:00:00,0,2024-12-02 15:00:00,2024-12-02 15:00:00,96370.7000,95792.4758,Stop,-0.6000,-1.0000,0
24370,2024-12-02 15:00:00,1,2024-12-02 15:15:00,2024-12-02 16:30:00,96499.1000,96219.6733,Stop,-0.2896,-0.4826,5
24371,2024-12-02 15:00:00,2,2024-12-02 15:30:00,2024-12-02 16:30:00,96720.2000,96205.7611,Stop,-0.5319,-0.8865,4
24372,2024-12-02 15:00:00,3,2024-12-02 15:45:00,2024-12-02 16:30:00,97198.2000,96615.0108,Stop,-0.6000,-1.0000,3
24373,2024-12-02 16:00:00,0,2024-12-02 16:00:00,2024-12-02 16:30:00,97093.7000,96511.1378,Stop,-0.6000,-1.0000,2
24374,2024-12-02 16:00:00,1,2024-12-02 16:15:00,2024-12-02 16:15:00,97310.2000,96726.3388,Stop,-0.6000,-1.0000,0
24375,2024-12-02 16:00:00,2,2024-12-02 16:30:00,2024-12-02 16:30:00,96660.2000,96080.2388,Stop,-0.6000,-1.0000,0
24376,2024-12-02 16:00:00,3,2024-12-02 16:45:00,2024-12-02 17:15:00,96436.7000,95858.0798,Stop,-0.6000,-1.0000,2
24377,2024-12-03 20:45:00,0,2024-12-03 20:45:00,2024-12-04 02:00:00,95532.2000,95452.0502,Stop,-0.0839,-0.1398,21
24378,2024-12-03 20:45:00,1,2024-12-03 21:00:00,2024-12-04 02:00:00,95663.7000,95452.6371,Stop,-0.2206,-0.3677,20
24379,2024-12-03 20:45:00,2,2024-12-03 21:15:00,2024-12-04 02:00:00,95882.7000,95455.3478,Stop,-0.4457,-0.7428,19
24380,2024-12-03 20:45:00,3,2024-12-03 21:30:00,2024-12-04 02:00:00,95969.7000,95454.6342,Stop,-0.5367,-0.8945,18
24381,2024-12-04 05:15:00,0,2024-12-04 05:15:00,2024-12-04 13:30:00,96109.7000,95680.0156,Stop,-0.4471,-0.7451,33
24382,2024-12-04 05:15:00,1,2024-12-04 05:30:00,2024-12-04 12:15:00,96467.7000,95888.8938,Stop,-0.6000,-1.0000,27
24383,2024-12-04 05:15:00,2,2024-12-04 05:45:00,2024-12-04 12:15:00,96399.4000,95821.0036,Stop,-0.6000,-1.0000,26
24384,2024-12-04 05:15:00,3,2024-12-04 06:00:00,2024-12-04 12:15:00,96531.5000,95952.3110,Stop,-0.6000,-1.0000,25
24385,2024-12-04 15:00:00,0,2024-12-04 15:00:00,2024-12-04 16:00:00,95891.2000,95407.4740,Stop,-0.5045,-0.8408,4
24386,2024-12-04 15:00:00,1,2024-12-04 15:15:00,2024-12-04 16:00:00,96115.7000,95539.0058,Stop,-0.6000,-1.0000,3
24387,2024-12-04 15:00:00,2,2024-12-04 15:30:00,2024-12-04 16:00:00,96174.2000,95597.1548,Stop,-0.6000,-1.0000,2
24388,2024-12-04 15:00:00,3,2024-12-04 15:45:00,2024-12-04 16:00:00,96023.7000,95447.5578,Stop,-0.6000,-1.0000,1
24389,2024-12-04 18:15:00,0,2024-12-04 18:15:00,2024-12-04 21:30:00,95978.2000,98111.1547,Stop,2.2223,3.7039,13
24390,2024-12-04 18:15:00,1,2024-12-04 18:30:00,2024-12-04 21:30:00,95838.7000,98107.4602,Stop,2.3673,3.9454,12
24391,2024-12-04 18:15:00,2,2024-12-04 18:45:00,2024-12-04 21:30:00,96043.7000,98098.2136,Stop,2.1391,3.5652,11
24392,2024-12-04 18:15:00,3,2024-12-04 19:00:00,2024-12-04 21:30:00,96226.7000,98097.4747,Stop,1.9441,3.2402,10
24393,2024-12-04 21:45:00,0,2024-12-04 21:45:00,2024-12-05 05:30:00,98034.5000,102304.7989,Stop,4.3559,7.2599,31
24394,2024-12-04 21:45:00,1,2024-12-04 22:00:00,2024-12-05 05:30:00,97842.5000,102295.5944,Stop,4.5513,7.5855,30
24395,2024-12-04 21:45:00,2,2024-12-04 22:15:00,2024-12-05 05:30:00,98102.7000,102284.7687,Stop,4.2629,7.1049,29
24396,2024-12-04 21:45:00,3,2024-12-04 22:30:00,2024-12-05 05:30:00,98541.6000,102268.7073,Stop,3.7823,6.3038,28
24397,2024-12-05 05:45:00,0,2024-12-05 05:45:00,2024-12-05 06:15:00,102151.2000,101538.2928,Stop,-0.6000,-1.0000,2
24398,2024-12-05 05:45:00,1,2024-12-05 06:00:00,2024-12-05 06:15:00,102533.2000,101918.0008,Stop,-0.6000,-1.0000,1
24399,2024-12-05 05:45:00,2,2024-12-05 06:15:00,2024-12-05 07:15:00,101993.2000,101381.2408,Stop,-0.6000,-1.0000,4
24400,2024-12-05 06:30:00,0,2024-12-05 06:30:00,2024-12-05 15:15:00,101892.2000,101792.2307,Stop,-0.0981,-0.1635,35
24401,2024-12-05 05:45:00,3,2024-12-05 06:30:00,2024-12-05 15:15:00,101892.2000,101792.2307,Stop,-0.0981,-0.1635,35
24402,2024-12-05 06:30:00,1,2024-12-05 06:45:00,2024-12-05 15:15:00,101945.7000,101787.2273,Stop,-0.1554,-0.2591,34
24403,2024-12-05 06:30:00,2,2024-12-05 07:00:00,2024-12-05 15:15:00,101910.7000,101787.3287,Stop,-0.1211,-0.2018,33
24404,2024-12-05 06:30:00,3,2024-12-05 07:15:00,2024-12-05 15:15:00,101617.7000,101780.7631,Stop,0.1605,0.2674,32
24405,2024-12-05 15:30:00,0,2024-12-05 15:30:00,2024-12-05 15:30:00,102202.2000,101588.9868,Stop,-0.6000,-1.0000,0
